Year,State,Age 45-64
2012,Pennsylvania,448939
2012,Rhode Island,36313
2012,South Carolina,194909
2012,South Dakota,20295
2012,Tennessee,282752
2012,Texas,955638
2012,Utah,59937
2012,Vermont,14398
2012,Virginia,321752
2012,Washington,208485
2012,West Virginia,88518
2012,Wisconsin,164515
2012,Wyoming,18453
2012,Guam,5020
2012,Puerto Rico,224400
2012,Virgin Islands of the U.S.,
2013,Alabama,235893
2013,Alaska,20673
2013,Arizona,262515
2013,Arkansas,121561
2013,California,1464555
2013,Colorado,110693
2013,Connecticut,98944
2013,Delaware,36392
2013,District of Columbia,20034
2013,Florida,708751
2013,Georgia,406455
2013,Hawaii,39271
2013,Idaho,41994
2013,Illinois,423153
2013,Indiana,259833
2013,Iowa,87274
2013,Kansas,95860
2013,Kentucky,156053
2013,Louisiana,192244
2013,Maine,45737
2013,Maryland,199951
2013,Massachusetts,207434
2013,Michigan,359587
2013,Minnesota,134104
2013,Mississippi,131190
2013,Missouri,200474
2013,Montana,25340
2013,Nebraska,56122
2013,Nevada,98806
2013,New Hampshire,44210
2013,New Jersey,290335
2013,New Mexico,80189
2013,New York,804022
2013,North Carolina,397393
2013,North Dakota,22705
2013,Ohio,383937
2013,Oklahoma,147379
2013,Oregon,137969
2013,Pennsylvania,466926
2013,Rhode Island,35399
2013,South Carolina,206681
2013,South Dakota,24625
2013,Tennessee,303648
2013,Texas,1022264
2013,Utah,62982
2013,Vermont,17277
2013,Virginia,306185
2013,Washington,197333
2013,West Virginia,88165
2013,Wisconsin,157594
2013,Wyoming,15627
2013,Guam,8410
2013,Puerto Rico,168146
2013,Virgin Islands of the U.S.,
2014,Alabama,228659
2014,Alaska,20508
2014,Arizona,228906
2014,Arkansas,135329
2014,California,1508904
2014,Colorado,139802
2014,Connecticut,119420
2014,Delaware,33535
2014,District of Columbia,22397
2014,Florida,742624
2014,Georgia,447958
2014,Hawaii,47556
2014,Idaho,39798
2014,Illinois,461390
2014,Indiana,247180
2014,Iowa,93584
2014,Kansas,101110
2014,Kentucky,191321
2014,Louisiana,182252
2014,Maine,47160
2014,Maryland,219608
2014,Massachusetts,219762
2014,Michigan,361232
2014,Minnesota,135100
2014,Mississippi,135351
2014,Missouri,221411
2014,Montana,31711
2014,Nebraska,60481
2014,Nevada,86210
2014,New Hampshire,45725
2014,New Jersey,273750
2014,New Mexico,81924
2014,New York,691468
2014,North Carolina,395457
2014,North Dakota,21424
2014,Ohio,491161
2014,Oklahoma,175432
2014,Oregon,110328
2014,Pennsylvania,519394
2014,Rhode Island,35921
2014,South Carolina,206379
2014,South Dakota,25078
2014,Tennessee,312340
2014,Texas,1057109
2014,Utah,62291
2014,Vermont,15760
2014,Virginia,283449
2014,Washington,233460
2014,West Virginia,94384
2014,Wisconsin,175084
2014,Wyoming,16347
2014,Guam,6048
2014,Puerto Rico,187790
2014,Virgin Islands of the U.S.,
2015,Alabama,227519
2015,Alaska,22097
2015,Arizona,229957
2015,Arkansas,143530
2015,California,1358771
2015,Colorado,120700
2015,Connecticut,117364
2015,Delaware,42815
2015,District of Columbia,22733
2015,Florida,754535
2015,Georgia,449734
2015,Hawaii,41929
2015,Idaho,40410
2015,Illinois,410959
2015,Indiana,275136
2015,Iowa,94226
2015,Kansas,90047
2015,Kentucky,216805
2015,Louisiana,194487
2015,Maine,43529
2015,Maryland,229155
2015,Massachusetts,209375
2015,Michigan,351824
2015,Minnesota,133318
2015,Mississippi,146218
2015,Missouri,238756
2015,Montana,27571
2015,Nebraska,53407
2015,Nevada,87568
2015,New Hampshire,38197
2015,New Jersey,265213
2015,New Mexico,79100
2015,New York,702566
2015,North Carolina,380575
2015,North Dakota,21203
2015,Ohio,476159
2015,Oklahoma,169181
2015,Oregon,147474
2015,Pennsylvania,435283
2015,Rhode Island,34446
2015,South Carolina,190294
2015,South Dakota,25366
2015,Tennessee,299330
2015,Texas,1178670
2015,Utah,60117
2015,Vermont,17602
2015,Virginia,287595
2015,Washington,201734
2015,West Virginia,95143
2015,Wisconsin,162856
2015,Wyoming,17640
2015,Guam,6702
2015,Puerto Rico,201086
2015,Virgin Islands of the U.S.,
2016,Alabama,251578
2016,Alaska,16010
2016,Arizona,266333
2016,Arkansas,136073
2016,California,1398214
2016,Colorado,131729
2016,Connecticut,125065
2016,Delaware,34788
2016,District of Columbia,20988
2016,Florida,734635
2016,Georgia,454431
2016,Hawaii,51942
2016,Idaho,45358
2016,Illinois,480019
2016,Indiana,264613
2016,Iowa,89892
2016,Kansas,87704
2016,Kentucky,193413
2016,Louisiana,200862
2016,Maine,51447
2016,Maryland,224623
2016,Massachusetts,212579
2016,Michigan,395232
2016,Minnesota,154851
2016,Mississippi,138817
2016,Missouri,223964
2016,Montana,29075
2016,Nebraska,54154
2016,Nevada,107862
2016,New Hampshire,40438
2016,New Jersey,281314
2016,New Mexico,80641
2016,New York,729890
2016,North Carolina,416520
2016,North Dakota,20917
2016,Ohio,456400
2016,Oklahoma,165568
2016,Oregon,124558
2016,Pennsylvania,470891
2016,Rhode Island,39966
2016,South Carolina,221554
2016,South Dakota,24177
2016,Tennessee,327701
2016,Texas,1145546
2016,Utah,64716
2016,Vermont,16031
2016,Virginia,306504
2016,Washington,240434
2016,West Virginia,100222
2016,Wisconsin,197863
2016,Wyoming,16277
2016,Guam,5060
2016,Puerto Rico,185413
2016,Virgin Islands of the U.S.,4467
2017,Alabama,244842
2017,Alaska,18668
2017,Arizona,253507
2017,Arkansas,123448
2017,California,1481650
2017,Colorado,146775
2017,Connecticut,121840
2017,Delaware,35409
2017,District of Columbia,19045
2017,Florida,734604
2017,Georgia,427764
2017,Hawaii,50946
2017,Idaho,47119
2017,Illinois,489361
2017,Indiana,273261
2017,Iowa,95628
2017,Kansas,99560
2017,Kentucky,200149
2017,Louisiana,222977
2017,Maine,52064
2017,Maryland,222684
2017,Massachusetts,239028
2017,Michigan,384116
2017,Minnesota,137332
2017,Mississippi,148344
2017,Missouri,223623
2017,Montana,28590
2017,Nebraska,62527
2017,Nevada,118767
2017,New Hampshire,36420
2017,New Jersey,341460
2017,New Mexico,71129
2017,New York,713558
2017,North Carolina,394463
2017,North Dakota,21945
2017,Ohio,439821
2017,Oklahoma,171383
2017,Oregon,139302
2017,Pennsylvania,465610
2017,Rhode Island,32599
2017,South Carolina,232452
2017,South Dakota,23960
2017,Tennessee,305100
2017,Texas,1187939
2017,Utah,64497
2017,Vermont,16955
2017,Virginia,336628
2017,Washington,236717
2017,West Virginia,102517
2017,Wisconsin,161818
2017,Wyoming,18876
2017,Guam,8005
2017,Puerto Rico,206215
2017,Virgin Islands of the U.S.,
2018,Alabama,240996
2018,Alaska,23411
2018,Arizona,231702
2018,Arkansas,139336
2018,California,1441411
2018,Colorado,131448
2018,Connecticut,120602
2018,Delaware,42938
2018,District of Columbia,23589
2018,Florida,829830
2018,Georgia,454072
2018,Hawaii,55577
2018,Idaho,52922
2018,Illinois,443301
2018,Indiana,275882
2018,Iowa,91817
2018,Kansas,101855
2018,Kentucky,211567
2018,Louisiana,247936
2018,Maine,46207
2018,Maryland,271475
2018,Massachusetts,185746
2018,Michigan,404178
2018,Minnesota,163518
2018,Mississippi,126564
2018,Missouri,228051
2018,Montana,31403
2018,Nebraska,59149
2018,Nevada,105747
2018,New Hampshire,55271
2018,New Jersey,277857
2018,New Mexico,83494
2018,New York,723430
2018,North Carolina,463013
2018,North Dakota,20781
2018,Ohio,466799
2018,Oklahoma,160819
2018,Oregon,147369
2018,Pennsylvania,460276
2018,Rhode Island,42179
2018,South Carolina,229398
2018,South Dakota,21190
2018,Tennessee,317617
2018,Texas,1285790
2018,Utah,83130
2018,Vermont,20441
2018,Virginia,299779
2018,Washington,265722
2018,West Virginia,109904
2018,Wisconsin,169447
2018,Wyoming,17095
2018,Guam,8057
2018,Puerto Rico,166433
2018,Virgin Islands of the U.S.,
2019,Alabama,253148
2019,Alaska,19310
2019,Arizona,262396
2019,Arkansas,140747
2019,California,1374979
2019,Colorado,134454
2019,Connecticut,117214
2019,Delaware,39371
2019,District of Columbia,22725
2019,Florida,790386
2019,Georgia,440438
2019,Hawaii,48120
2019,Idaho,52198
2019,Illinois,501971
2019,Indiana,266364
2019,Iowa,104550
2019,Kansas,98306
2019,Kentucky,216530
2019,Louisiana,199372
2019,Maine,47739
2019,Maryland,238339
2019,Massachusetts,190770
2019,Michigan,365601
2019,Minnesota,149192
2019,Mississippi,150194
2019,Missouri,202926
2019,Montana,28011
2019,Nebraska,63458
2019,Nevada,107632
2019,New Hampshire,40761
2019,New Mexico,80240
2019,New York,696056
2019,North Carolina,415959
2019,North Dakota,22222
2019,Ohio,467651
2019,Oklahoma,169658
2019,Oregon,119658
2019,Pennsylvania,446589
2019,Rhode Island,39304
2019,South Carolina,230804
2019,South Dakota,27902
2019,Tennessee,342841
2019,Texas,1233755
2019,Utah,72468
2019,Vermont,17311
2019,Virginia,314903
2019,Washington,242397
2019,West Virginia,90462
2019,Wisconsin,177499
2019,Wyoming,12074
2019,Guam,6616
2019,Puerto Rico,186257
2019,New Jersey,
2019,Virgin Islands of the U.S.,
2020,Alabama,252546
2020,Alaska,18079
2020,Arizona,250633
2020,Arkansas,141698
2020,California,1375907
2020,Colorado,140116
2020,Connecticut,101875
2020,Delaware,38508
2020,District of Columbia,21627
2020,Florida,747537
2020,Georgia,424440
2020,Hawaii,46950
2020,Idaho,44371
2020,Illinois,473332
2020,Indiana,263982
2020,Iowa,106415
2020,Kansas,100990
2020,Kentucky,203650
2020,Louisiana,196023
2020,Maine,48495
2020,Maryland,202423
2020,Massachusetts,205282
2020,Michigan,422598
2020,Minnesota,143596
2020,Mississippi,142971
2020,Missouri,205235
2020,Montana,30421
2020,Nebraska,57515
2020,Nevada,103824
2020,New Hampshire,43020
2020,New Jersey,289247
2020,New Mexico,77117
2020,New York,653994
2020,North Carolina,425584
2020,North Dakota,24710
2020,Ohio,457258
2020,Oklahoma,167931
2020,Oregon,108437
2020,Pennsylvania,450131
2020,Rhode Island,33844
2020,South Carolina,254391
2020,South Dakota,17347
2020,Tennessee,321500
2020,Texas,1312320
2020,Utah,82405
2020,Vermont,16165
2020,Virginia,329380
2020,Washington,225744
2020,West Virginia,92527
2020,Wisconsin,163189
2020,Wyoming,15358
2020,Guam,8705
2020,Puerto Rico,155653
2020,Virgin Islands of the U.S.,
