Year,State,Age 45-64
2010,Alabama,218262
2010,Alaska,13815
2010,Arizona,247975
2010,Arkansas,95044
2010,California,1173913
2010,Colorado,106956
2010,Connecticut,85004
2010,Delaware,25607
2010,District of Columbia,16851
2010,Florida,687533
2010,Georgia,332552
2010,Hawaii,34132
2010,Idaho,40135
2010,Illinois,374767
2010,Indiana,217428
2010,Iowa,80022
2010,Kansas,81616
2010,Kentucky,160718
2010,Louisiana,164942
2010,Maine,42217
2010,Maryland,181542
2010,Massachusetts,156372
2010,Michigan,344828
2010,Minnesota,106500
2010,Mississippi,129990
2010,Missouri,199717
2010,Montana,24202
2010,Nebraska,43464
2010,Nevada,66285
2010,New Hampshire,33518
2010,New Jersey,283342
2010,New Mexico,54941
2010,New York,624315
2010,North Carolina,335704
2010,North Dakota,16052
2010,Ohio,379502
2010,Oklahoma,131604
2010,Oregon,92761
2010,Pennsylvania,416488
2010,Rhode Island,26995
2010,South Carolina,160292
2010,South Dakota,18002
2010,Tennessee,253127
2010,Texas,801975
2010,Utah,53887
2010,Vermont,15108
2010,Virginia,235803
2010,Washington,174887
2010,West Virginia,79626
2010,Wisconsin,135330
2010,Wyoming,13214
2010,Guam,5777
2010,Puerto Rico,163426
2010,Virgin Islands of the U.S.,2947
2011,Alabama,200311
2011,Alaska,19535
2011,Arizona,200157
2011,Arkansas,112545
2011,California,1072516
2011,Colorado,112601
2011,Connecticut,109319
2011,Delaware,28680
2011,District of Columbia,19694
2011,Florida,636422
2011,Georgia,336474
2011,Hawaii,35551
2011,Idaho,48156
2011,Illinois,403975
2011,Indiana,233052
2011,Iowa,90148
2011,Kansas,95211
2011,Kentucky,174367
2011,Louisiana,174817
2011,Maine,47133
2011,Maryland,187833
2011,Massachusetts,173248
2011,Michigan,343449
2011,Minnesota,127906
2011,Mississippi,137897
2011,Missouri,216126
2011,Montana,25927
2011,Nebraska,52876
2011,Nevada,96864
2011,New Hampshire,42323
2011,New Jersey,258826
2011,New Mexico,72149
2011,New York,701856
2011,North Carolina,375208
2011,North Dakota,19484
2011,Ohio,414183
2011,Oklahoma,140599
2011,Oregon,137042
2011,Pennsylvania,388376
2011,Rhode Island,29690
2011,South Carolina,185039
2011,South Dakota,23286
2011,Tennessee,233343
2011,Texas,968498
2011,Utah,56012
2011,Vermont,18288
2011,Virginia,311863
2011,Washington,221199
2011,West Virginia,88662
2011,Wisconsin,176153
2011,Wyoming,16461
2011,Guam,5666
2011,Puerto Rico,168760
2011,Virgin Islands of the U.S.,
2012,Alabama,212357
2012,Alaska,18102
2012,Arizona,236466
2012,Arkansas,115552
2012,California,1340618
2012,Colorado,136057
2012,Connecticut,114811
2012,Delaware,30596
2012,District of Columbia,20365
2012,Florida,762685
2012,Georgia,342427
2012,Hawaii,40117
2012,Idaho,42797
2012,Illinois,418228
2012,Indiana,255019
2012,Iowa,95136
2012,Kansas,88990
2012,Kentucky,169206
2012,Louisiana,209047
2012,Maine,44047
2012,Maryland,223821
2012,Massachusetts,181956
2012,Michigan,364926
2012,Minnesota,126722
2012,Mississippi,126851
2012,Missouri,228318
2012,Montana,26786
2012,Nebraska,50717
2012,Nevada,81035
2012,New Hampshire,46049
2012,New Jersey,268134
2012,New Mexico,79637
2012,New York,609952
2012,North Carolina,356538
2012,North Dakota,18619
2012,Ohio,464795
2012,Oklahoma,151196
2012,Oregon,141486
