Year,State,Male
2015,Arkansas,123833
2015,California,1587797
2015,Colorado,158813
2015,Connecticut,140573
2015,Delaware,42849
2015,District of Columbia,21275
2015,Florida,915538
2015,Georgia,419524
2015,Hawaii,48728
2015,Idaho,45215
2015,Illinois,521511
2015,Indiana,300820
2015,Iowa,114526
2015,Kansas,105800
2015,Kentucky,237923
2015,Louisiana,217944
2015,Maine,52473
2015,Maryland,244688
2015,Massachusetts,246970
2015,Michigan,429576
2015,Minnesota,166658
2015,Mississippi,163456
2015,Missouri,278810
2015,Montana,32987
2015,Nebraska,63499
2015,Nevada,117359
2015,New Hampshire,45222
2015,New Jersey,332691
2015,New Mexico,87968
2015,New York,786519
2015,North Carolina,381409
2015,North Dakota,25681
2015,Ohio,494053
2015,Oklahoma,171460
2015,Oregon,187967
2015,Pennsylvania,528868
2015,Rhode Island,39541
2015,South Carolina,217568
2015,South Dakota,33540
2015,Tennessee,308130
2015,Texas,1230020
2015,Utah,77653
2015,Vermont,22740
2015,Virginia,312182
2015,Washington,245962
2015,West Virginia,105814
2015,Wisconsin,197289
2015,Wyoming,21941
2015,Guam,6630
2015,Puerto Rico,189214
2016,Alabama,268240
2016,Alaska,22294
2016,Arizona,319121
2016,Arkansas,145554
2016,California,1560648
2016,Colorado,147236
2016,Connecticut,138607
2016,Delaware,39938
2016,District of Columbia,16081
2016,Florida,999839
2016,Georgia,447403
2016,Hawaii,62559
2016,Idaho,54797
2016,Illinois,478625
2016,Indiana,287714
2016,Iowa,108635
2016,Kansas,107976
2016,Kentucky,231587
2016,Louisiana,192224
2016,Maine,59932
2016,Maryland,257401
2016,Massachusetts,253760
2016,Michigan,456113
2016,Minnesota,191944
2016,Mississippi,142256
2016,Missouri,276111
2016,Montana,33798
2016,Nebraska,61942
2016,Nevada,121428
2016,New Hampshire,55290
2016,New Jersey,333372
2016,New Mexico,94576
2016,New York,821745
2016,North Carolina,405300
2016,North Dakota,28685
2016,Ohio,504191
2016,Oklahoma,177758
2016,Oregon,156027
2016,Pennsylvania,588773
2016,Rhode Island,41895
2016,South Carolina,242421
2016,South Dakota,27379
2016,Tennessee,332420
2016,Texas,1143329
2016,Utah,83215
2016,Vermont,22128
2016,Virginia,344520
2016,Washington,270322
2016,West Virginia,108651
2016,Wisconsin,251889
2016,Wyoming,19524
2016,Guam,4945
2016,Puerto Rico,197683
2016,Virgin Islands of the U.S.,4455
2017,Virgin Islands of the U.S.,
2017,Alabama,251240
2017,Alaska,22263
2017,Arizona,298100
2017,Arkansas,134431
2017,California,1655346
2017,Colorado,162084
2017,Connecticut,143862
2017,Delaware,43656
2017,District of Columbia,17863
2017,Florida,861912
2017,Georgia,411343
2017,Hawaii,58337
2017,Idaho,52495
2017,Illinois,550816
2017,Indiana,307865
2017,Iowa,111545
2017,Kansas,115411
2017,Kentucky,213827
2017,Louisiana,221257
2017,Maine,65772
2017,Maryland,244962
2017,Massachusetts,249745
2017,Michigan,418681
2017,Minnesota,189155
2017,Mississippi,151499
2017,Missouri,242913
2017,Montana,32735
2017,Nebraska,74517
2017,Nevada,117937
2017,New Hampshire,51382
2017,New Jersey,404117
2017,New Mexico,90790
2017,New York,808322
2017,North Carolina,441157
2017,North Dakota,27726
2017,Ohio,488467
2017,Oklahoma,192467
2017,Oregon,160213
2017,Pennsylvania,552294
2017,Rhode Island,38015
2017,South Carolina,252558
2017,South Dakota,39563
2017,Tennessee,332507
2017,Texas,1328595
2017,Utah,81540
2017,Vermont,23892
2017,Virginia,346056
2017,Washington,268171
2017,West Virginia,108285
2017,Wisconsin,230191
2017,Wyoming,22126
2017,Guam,7288
2017,Puerto Rico,210941
2018,Virgin Islands of the U.S.,
2018,Alabama,257100
2018,Alaska,27982
2018,Arizona,290586
2018,Arkansas,162575
2018,California,1597743
2018,Colorado,159158
2018,Connecticut,146618
2018,Delaware,48240
2018,District of Columbia,21842
2018,Florida,1126255
2018,Georgia,473590
2018,Hawaii,68990
2018,Idaho,66552
2018,Illinois,464608
2018,Indiana,337052
2018,Iowa,120636
2018,Kansas,124928
2018,Kentucky,232147
2018,Louisiana,231334
2018,Maine,59722
2018,Maryland,281766
2018,Massachusetts,267138
2018,Michigan,469609
2018,Minnesota,208299
2018,Mississippi,142086
2018,Missouri,307788
2018,Montana,43287
2018,Nebraska,73732
2018,Nevada,128714
2018,New Hampshire,60943
2018,New Jersey,357727
2018,New Mexico,93268
2018,New York,879125
2018,North Carolina,508285
2018,North Dakota,29035
2018,Ohio,520778
2018,Oklahoma,182194
2018,Oregon,177304
2018,Pennsylvania,549037
2018,Rhode Island,51854
2018,South Carolina,261297
2018,South Dakota,31166
2018,Tennessee,361184
2018,Texas,1366417
2018,Utah,98282
2018,Vermont,25202
2018,Virginia,351660
2018,Washington,297886
2018,West Virginia,104327
2018,Wisconsin,212244
2018,Wyoming,19755
2018,Guam,8166
2018,Puerto Rico,186891
2019,New Jersey,
2019,Virgin Islands of the U.S.,
2019,Alabama,256196
